Event_Slug,Target_Month,Target_Year,Option,Date,Implied_Probability,Actual_Fed_Rate,Rate_Shift,Bin_Type,Implied_Fed_Rate_Target,Math_Bounds,raw_mu,raw_sigma,smoothed_mu,smoothed_sigma
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-08,0.075,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.528642531785482,0.08,5.527599206593234,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-09,0.065,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.527178221222989,0.08,5.5274588781364855,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-09,0.935,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.527178221222989,0.08,5.5274588781364855,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-10,0.06,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.527164660508741,0.08,5.527360805593904,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-10,0.935,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.527164660508741,0.08,5.527360805593904,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-11,0.07,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.528342474834973,0.08,5.527688028674261,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-11,0.925,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.528342474834973,0.08,5.527688028674261,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-12,0.075,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.528642531785482,0.08,5.528006196378001,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-12,0.925,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.528642531785482,0.08,5.528006196378001,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-13,0.065,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.527178221222989,0.08,5.527730204659664,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-13,0.935,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.527178221222989,0.08,5.527730204659664,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-14,0.915,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.529415103927098,0.08,5.528291837748809,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-14,0.08,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.529415103927098,0.08,5.528291837748809,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-15,0.97,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5217356263362465,0.08,5.526106433944622,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-15,0.03,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5217356263362465,0.08,5.526106433944622,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-16,0.015,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.492123204551219,0.08,5.514778690813488,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-16,0.985,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.492123204551219,0.08,5.514778690813488,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-17,0.019,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.487318660129737,0.08,5.505625347252238,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-17,0.981,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.487318660129737,0.08,5.505625347252238,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-18,0.9825,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491734861070214,0.08,5.500995185191563,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-18,0.0175,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491734861070214,0.08,5.500995185191563,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-19,0.01,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.49292145632619,0.08,5.498303942236439,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-19,0.99,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.49292145632619,0.08,5.498303942236439,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-20,0.99,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.49292145632619,0.08,5.496509780266356,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-20,0.01,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.49292145632619,0.08,5.496509780266356,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-21,0.0105,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.492842081950568,0.08,5.495287214161094,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-21,0.99,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.492842081950568,0.08,5.495287214161094,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-22,0.985,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.493314670542001,0.08,5.494629699621396,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-22,0.0075,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.493314670542001,0.08,5.494629699621396,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-23,0.016,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491964646697326,0.08,5.493741348646706,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-23,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491964646697326,0.08,5.493741348646706,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-24,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491964646697326,0.08,5.49314911466358,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-24,0.016,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491964646697326,0.08,5.49314911466358,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-25,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491964646697326,0.08,5.492754292008162,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-25,0.016,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491964646697326,0.08,5.492754292008162,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-26,0.016,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491964646697326,0.08,5.4924910769045505,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-26,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491964646697326,0.08,5.4924910769045505,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-27,0.016,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491964646697326,0.08,5.492315600168809,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-27,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491964646697326,0.08,5.492315600168809,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-28,0.015,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.492120822975792,0.08,5.492250674437804,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-28,0.984,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.492120822975792,0.08,5.492250674437804,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-29,0.035,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.522840262438898,0.08,5.502447203771502,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-29,0.9835,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.522840262438898,0.08,5.502447203771502,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-11-30,0.9835,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5216106117362,0.08,5.508835006426402,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-11-30,0.031,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5216106117362,0.08,5.508835006426402,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-01,0.031,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.526538111066666,0.08,5.51473604130649,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-01,0.5185,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.526538111066666,0.08,5.51473604130649,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-02,0.031,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.52297071696665,0.08,5.517480933193211,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-02,0.855,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.52297071696665,0.08,5.517480933193211,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-03,0.939,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.522183902578614,0.08,5.519048589655012,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-03,0.0315,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.522183902578614,0.08,5.519048589655012,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-04,0.0315,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.521564894131495,0.08,5.51988735781384,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-04,0.971,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.521564894131495,0.08,5.51988735781384,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-05,0.0315,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.520929590661041,0.08,5.520234768762907,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-05,0.97,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.520929590661041,0.08,5.520234768762907,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-06,0.025,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.52036620500791,0.08,5.520278580844575,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-06,0.9735,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.52036620500791,0.08,5.520278580844575,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-07,0.974,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.520221435913038,0.08,5.520259532534063,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-07,0.023,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.520221435913038,0.08,5.520259532534063,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-08,0.939,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.520581834860224,0.08,5.520366966642784,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-08,0.023,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.520581834860224,0.08,5.520366966642784,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-09,0.954,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5204354287161825,0.08,5.520389787333917,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-09,0.0225,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5204354287161825,0.08,5.520389787333917,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-10,0.9885,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.4866991002236505,0.08,5.509159558297162,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-10,0.0225,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.4866991002236505,0.08,5.509159558297162,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-11,0.0225,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.519780299538019,0.08,5.512699805377448,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-11,0.991,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.519780299538019,0.08,5.512699805377448,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-12,0.0225,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.5204354287161825,0.08,5.515278346490359,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-12,0.954,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.5204354287161825,0.08,5.515278346490359,0.08000000000000004
fed-interest-rates-december-2023,December,2023,0 bps increase?,2023-12-13,0.982,5.5,0.0,Exact_Bin,5.5,"(5.4375, 5.5625)",5.491630711135869,0.08,5.507395801372196,0.08000000000000004
fed-interest-rates-december-2023,December,2023,25 bps increase?,2023-12-13,0.018,5.5,0.25,Exact_Bin,5.75,"(5.5625, 5.8125)",5.491630711135869,0.08,5.507395801372196,0.08000000000000004
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-15,0.015,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.343452254935074,0.08,5.294941459578318,0.08000336428437152
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-15,0.705,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.343452254935074,0.08,5.294941459578318,0.08000336428437152
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-15,0.335,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.343452254935074,0.08,5.294941459578318,0.08000336428437152
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-16,0.67,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.342573245324961,0.08,5.310818721493867,0.08000224285624769
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-16,0.015,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.342573245324961,0.08,5.310818721493867,0.08000224285624769
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-16,0.325,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.342573245324961,0.08,5.310818721493867,0.08000224285624769
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-17,0.7,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.349205292708425,0.08,5.3236142452320525,0.08000149523749847
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-17,0.015,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.349205292708425,0.08,5.3236142452320525,0.08000149523749847
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-17,0.3,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.349205292708425,0.08,5.3236142452320525,0.08000149523749847
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-18,0.71,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.3559245746446,0.08,5.334384355036235,0.08000099682499898
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-18,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.3559245746446,0.08,5.334384355036235,0.08000099682499898
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-18,0.28,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.3559245746446,0.08,5.334384355036235,0.08000099682499898
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-19,0.715,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.359151329374252,0.08426909618799011,5.342640013148907,0.08142369661266269
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-19,0.025,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.359151329374252,0.08426909618799011,5.342640013148907,0.08142369661266269
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-19,0.275,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.359151329374252,0.08426909618799011,5.342640013148907,0.08142369661266269
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-20,0.025,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.352995019724066,0.0823455516684405,5.346091682007294,0.08173098163125529
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-20,0.695,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.352995019724066,0.0823455516684405,5.346091682007294,0.08173098163125529
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-20,0.295,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.352995019724066,0.0823455516684405,5.346091682007294,0.08173098163125529
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-21,0.705,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.352739791393611,0.08201907691294286,5.3483077184694,0.08182701339181782
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-21,0.025,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.352739791393611,0.08201907691294286,5.3483077184694,0.08182701339181782
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-21,0.3,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.352739791393611,0.08201907691294286,5.3483077184694,0.08182701339181782
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-22,0.285,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.35597182284375,0.08,5.350862419927516,0.08121800892787856
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-22,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.35597182284375,0.08,5.350862419927516,0.08121800892787856
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-22,0.725,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.35597182284375,0.08,5.350862419927516,0.08121800892787856
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-23,0.725,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.360480353789611,0.08129385211400972,5.354068397881548,0.08124328998992228
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-23,0.265,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.360480353789611,0.08129385211400972,5.354068397881548,0.08124328998992228
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-23,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.360480353789611,0.08129385211400972,5.354068397881548,0.08124328998992228
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-24,0.275,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.3581820064742764,0.08051902931646987,5.355439600745791,0.08100186976543815
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-24,0.725,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.3581820064742764,0.08051902931646987,5.355439600745791,0.08100186976543815
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-24,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.3581820064742764,0.08051902931646987,5.355439600745791,0.08100186976543815
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-25,0.275,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.359547387454724,0.08429727024644766,5.356808862982103,0.08210033659244131
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-25,0.025,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.359547387454724,0.08429727024644766,5.356808862982103,0.08210033659244131
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-25,0.72,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.359547387454724,0.08429727024644766,5.356808862982103,0.08210033659244131
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-26,0.275,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.359547387454724,0.08429727024644766,5.357721704472977,0.08283264781044344
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-26,0.025,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.359547387454724,0.08429727024644766,5.357721704472977,0.08283264781044344
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-26,0.72,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.359547387454724,0.08429727024644766,5.357721704472977,0.08283264781044344
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-27,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.356308161012898,0.08002354996450241,5.3572505233196175,0.08189628186179643
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-27,0.715,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.356308161012898,0.08002354996450241,5.3572505233196175,0.08189628186179643
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-27,0.28,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.356308161012898,0.08002354996450241,5.3572505233196175,0.08189628186179643
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-28,0.02,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.35780542066889,0.0804797111811441,5.357435489102709,0.08142409163491232
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-28,0.72,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.35780542066889,0.0804797111811441,5.357435489102709,0.08142409163491232
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-28,0.275,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.35780542066889,0.0804797111811441,5.357435489102709,0.08142409163491232
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-29,0.23,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.369722641883804,0.08,5.361531206696408,0.0809493944232749
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-29,0.775,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.369722641883804,0.08,5.361531206696408,0.0809493944232749
fed-interest-rates-july-2023,July,2023,25 bps decrease after July meeting?,2023-06-29,0.015,5.25,-0.25,Exact_Bin,5.0,"(4.9375, 5.1875)",5.369722641883804,0.08,5.361531206696408,0.0809493944232749
fed-interest-rates-july-2023,July,2023,0 bps increase after July meeting?,2023-06-30,0.125,5.25,0.0,Exact_Bin,5.25,"(5.1875, 5.3125)",5.3971108347711745,0.08,5.37339108272133,0.0806329296155166
fed-interest-rates-july-2023,July,2023,25 bps increase after July meeting?,2023-06-30,0.815,5.25,0.25,Exact_Bin,5.5,"(5.3125, 5.5625)",5.3971108347711745,0.08,5.37339108272133,0.0806329296155166
